text,label
Government launches new healthcare scheme,Real
Aliens landed in New York yesterday,Fake
Stock market hits all time high,Real
Scientists confirm moon made of cheese,Fake
New education policy announced,Real
Man claims to time travel using microwave,Fake
New metro line opens in city center,Real
Celebrity adopts dragon as pet,Fake
Rain expected across northern states this week,Real
Man says plants can talk to humans,Fake
Tech company launches new smartphone model,Real
Invisible airplane spotted above mountains,Fake
University reduces tuition fees for students,Real
Woman claims she lives on sunlight only,Fake
New bridge inaugurated by officials,Real
Dinosaurs found alive in forest reserve,Fake
Hospital opens emergency care wing,Real
Man builds rocket in backyard to visit Mars,Fake
Local elections conclude peacefully,Real
Scientists discover portal under ocean,Fake
Petrol prices reduced by government,Real
Fish teaches math in classroom,Fake
Bank introduces digital payment upgrade,Real
City parks receive renovation funding,Fake
Farmers receive subsidy for crop insurance,Real
Ghost elected as town mayor,Fake
School introduces coding classes,Real
Flying car seen above traffic jam,Fake
Weather department issues heatwave warning,Real
Ancient wizard found in museum basement,Fake
Government increases renewable energy budget,Real
Robot becomes president of village,Fake
Airport expands international terminal,Real
Moonlight cures all diseases,Fake
Internet prices drop after competition rises,Real
Cat becomes CEO of startup,Fake
Researchers publish cancer treatment study,Real
Secret city found inside volcano,Fake
Train services resume after repairs,Real
Man invents teleportation slippers,Fake
Police launch traffic safety campaign,Real
Bird speaks five languages fluently,Fake
Tourism rises during holiday season,Real
Scientists test water purification device,Real
Man says mirror trapped his soul,Fake
Company hires 500 new employees,Real
Mermaid spotted at public beach,Fake
Government approves housing project,Real
Alien opens restaurant downtown,Fake
Health ministry starts vaccination drive,Real
